,model,fitness,episode
612,./models\v1_20241122-173605_b85848d5_16100.pth,-697.9514641670995,16100
613,./models\v1_20241122-173605_b85848d5_16200.pth,-250.08217018768747,16200
614,./models\v1_20241122-173605_b85848d5_16300.pth,-206.0428186927162,16300
615,./models\v1_20241122-173605_b85848d5_16400.pth,-218.83538271719502,16400
616,./models\v1_20241122-173605_b85848d5_16500.pth,-331.10094263490015,16500
617,./models\v1_20241122-173605_b85848d5_16600.pth,-146.33564889793448,16600
618,./models\v1_20241122-173605_b85848d5_16700.pth,-114.05406068272539,16700
619,./models\v1_20241122-173605_b85848d5_16800.pth,-170.17400511696084,16800
620,./models\v1_20241122-173605_b85848d5_16900.pth,-232.92857286183818,16900
621,./models\v1_20241122-173605_b85848d5_1700.pth,-599.9589921998503,1700
622,./models\v1_20241122-173605_b85848d5_17000.pth,-268.76774520009917,17000
623,./models\v1_20241122-173605_b85848d5_17100.pth,-271.2853559244504,17100
624,./models\v1_20241122-173605_b85848d5_17200.pth,-290.4180589150104,17200
625,./models\v1_20241122-173605_b85848d5_17300.pth,-521.7379761192734,17300
626,./models\v1_20241122-173605_b85848d5_17400.pth,-450.5110741560592,17400
627,./models\v1_20241122-173605_b85848d5_17500.pth,-475.1414704696243,17500
628,./models\v1_20241122-173605_b85848d5_17600.pth,-548.0277615559978,17600
629,./models\v1_20241122-173605_b85848d5_17700.pth,-428.4035470496201,17700
630,./models\v1_20241122-173605_b85848d5_17800.pth,-634.4653263897104,17800
631,./models\v1_20241122-173605_b85848d5_17900.pth,-771.5756541372552,17900
632,./models\v1_20241122-173605_b85848d5_1800.pth,-547.1241889691535,1800
633,./models\v1_20241122-173605_b85848d5_18000.pth,-779.7583355417886,18000
634,./models\v1_20241122-173605_b85848d5_18100.pth,-742.026101920972,18100
635,./models\v1_20241122-173605_b85848d5_18200.pth,-757.8587428917209,18200
636,./models\v1_20241122-173605_b85848d5_18300.pth,-766.6740230921037,18300
637,./models\v1_20241122-173605_b85848d5_18400.pth,-748.4638716926522,18400
638,./models\v1_20241122-173605_b85848d5_18500.pth,-803.9003584851438,18500
639,./models\v1_20241122-173605_b85848d5_18600.pth,-736.0717705782561,18600
640,./models\v1_20241122-173605_b85848d5_1900.pth,-537.8865659401675,1900
641,./models\v1_20241122-173605_b85848d5_200.pth,-530.0126498056686,200
642,./models\v1_20241122-173605_b85848d5_2000.pth,-149.24393292458836,2000
643,./models\v1_20241122-173605_b85848d5_2100.pth,-296.9944814636693,2100
644,./models\v1_20241122-173605_b85848d5_2200.pth,-158.73899689972754,2200
645,./models\v1_20241122-173605_b85848d5_2300.pth,-234.74768970686597,2300
646,./models\v1_20241122-173605_b85848d5_2400.pth,-168.83317870833693,2400
647,./models\v1_20241122-173605_b85848d5_2500.pth,-255.82308947585938,2500
648,./models\v1_20241122-173605_b85848d5_2600.pth,-233.53331272989163,2600
649,./models\v1_20241122-173605_b85848d5_2700.pth,-256.89863098167933,2700
650,./models\v1_20241122-173605_b85848d5_2800.pth,-268.4396313217738,2800
651,./models\v1_20241122-173605_b85848d5_2900.pth,-214.49622295805295,2900
652,./models\v1_20241122-173605_b85848d5_300.pth,-250.01634033626186,300
653,./models\v1_20241122-173605_b85848d5_3000.pth,-261.36804700077226,3000
654,./models\v1_20241122-173605_b85848d5_3100.pth,-252.9195766954173,3100
655,./models\v1_20241122-173605_b85848d5_3200.pth,-196.06580926072218,3200
656,./models\v1_20241122-173605_b85848d5_3300.pth,-206.80490991613883,3300
657,./models\v1_20241122-173605_b85848d5_3400.pth,-186.31695137495046,3400
658,./models\v1_20241122-173605_b85848d5_3500.pth,-141.98673365376692,3500
659,./models\v1_20241122-173605_b85848d5_3600.pth,-242.68080120134786,3600
660,./models\v1_20241122-173605_b85848d5_3700.pth,-117.46292863714287,3700
661,./models\v1_20241122-173605_b85848d5_3800.pth,-251.9371251033498,3800
662,./models\v1_20241122-173605_b85848d5_3900.pth,-152.20958497244942,3900
663,./models\v1_20241122-173605_b85848d5_400.pth,-172.1966448626837,400
664,./models\v1_20241122-173605_b85848d5_4000.pth,-359.87089948736553,4000
665,./models\v1_20241122-173605_b85848d5_4100.pth,-342.98510802289564,4100
666,./models\v1_20241122-173605_b85848d5_4200.pth,-360.30156340769173,4200
667,./models\v1_20241122-173605_b85848d5_4300.pth,-284.60706107305714,4300
668,./models\v1_20241122-173605_b85848d5_4400.pth,-405.2743060607904,4400
669,./models\v1_20241122-173605_b85848d5_4500.pth,-424.14932494746756,4500
670,./models\v1_20241122-173605_b85848d5_4600.pth,-480.7425517619938,4600
671,./models\v1_20241122-173605_b85848d5_4700.pth,-467.8063796352115,4700
672,./models\v1_20241122-173605_b85848d5_4800.pth,-481.4779159754009,4800
673,./models\v1_20241122-173605_b85848d5_4900.pth,-623.0888307506405,4900
674,./models\v1_20241122-173605_b85848d5_500.pth,-187.04109496093994,500
675,./models\v1_20241122-173605_b85848d5_5000.pth,-423.4015158031409,5000
676,./models\v1_20241122-173605_b85848d5_5100.pth,-580.5649986187068,5100
677,./models\v1_20241122-173605_b85848d5_5200.pth,-697.8968086285548,5200
678,./models\v1_20241122-173605_b85848d5_5300.pth,-554.0046070209502,5300
679,./models\v1_20241122-173605_b85848d5_5400.pth,-650.4888990276562,5400
680,./models\v1_20241122-173605_b85848d5_5500.pth,-588.9406130298348,5500
681,./models\v1_20241122-173605_b85848d5_5600.pth,-581.4713415234371,5600
682,./models\v1_20241122-173605_b85848d5_5700.pth,-591.0196148131076,5700
683,./models\v1_20241122-173605_b85848d5_5800.pth,-574.2903086689121,5800
684,./models\v1_20241122-173605_b85848d5_5900.pth,-575.259561532135,5900
685,./models\v1_20241122-173605_b85848d5_600.pth,-366.4424113211027,600
686,./models\v1_20241122-173605_b85848d5_6000.pth,-513.8591327848276,6000
687,./models\v1_20241122-173605_b85848d5_6100.pth,-561.9723457093357,6100
688,./models\v1_20241122-173605_b85848d5_6200.pth,-578.9982568426979,6200
689,./models\v1_20241122-173605_b85848d5_6300.pth,-614.9065548371484,6300
690,./models\v1_20241122-173605_b85848d5_6400.pth,-588.2129828093036,6400
691,./models\v1_20241122-173605_b85848d5_6500.pth,-563.0008396666203,6500
692,./models\v1_20241122-173605_b85848d5_6600.pth,-722.3825870736395,6600
693,./models\v1_20241122-173605_b85848d5_6700.pth,-780.9321354257077,6700
694,./models\v1_20241122-173605_b85848d5_6800.pth,-880.4778056802138,6800
695,./models\v1_20241122-173605_b85848d5_6900.pth,-573.4601239805367,6900
696,./models\v1_20241122-173605_b85848d5_700.pth,-576.2042705411482,700
697,./models\v1_20241122-173605_b85848d5_7000.pth,-581.5634943476293,7000
698,./models\v1_20241122-173605_b85848d5_7100.pth,-655.9546114786889,7100
699,./models\v1_20241122-173605_b85848d5_7200.pth,-659.4985565746554,7200
700,./models\v1_20241122-173605_b85848d5_7300.pth,-635.3796108322306,7300
701,./models\v1_20241122-173605_b85848d5_7400.pth,-636.2779025967048,7400
702,./models\v1_20241122-173605_b85848d5_7500.pth,-656.366051692512,7500
703,./models\v1_20241122-173605_b85848d5_7600.pth,-692.9165213910294,7600
704,./models\v1_20241122-173605_b85848d5_7700.pth,-716.9968127727486,7700
705,./models\v1_20241122-173605_b85848d5_7800.pth,-673.6872167826681,7800
706,./models\v1_20241122-173605_b85848d5_7900.pth,-691.2031274145232,7900
707,./models\v1_20241122-173605_b85848d5_800.pth,-561.3302744934205,800
708,./models\v1_20241122-173605_b85848d5_8000.pth,-721.3044922586067,8000
709,./models\v1_20241122-173605_b85848d5_8100.pth,-930.8801835244531,8100
710,./models\v1_20241122-173605_b85848d5_8200.pth,-607.3740837337085,8200
711,./models\v1_20241122-173605_b85848d5_8300.pth,-781.7268671531133,8300
712,./models\v1_20241122-173605_b85848d5_8400.pth,-772.7034162664154,8400
713,./models\v1_20241122-173605_b85848d5_8500.pth,-755.1222047463447,8500
714,./models\v1_20241122-173605_b85848d5_8600.pth,-802.9422772707115,8600
715,./models\v1_20241122-173605_b85848d5_8700.pth,-757.8002672434741,8700
716,./models\v1_20241122-173605_b85848d5_8800.pth,-750.5198956739355,8800
717,./models\v1_20241122-173605_b85848d5_8900.pth,-764.9953952125917,8900
718,./models\v1_20241122-173605_b85848d5_900.pth,-552.7157088351615,900
719,./models\v1_20241122-173605_b85848d5_9000.pth,-802.9826999234248,9000
720,./models\v1_20241122-173605_b85848d5_9100.pth,-804.9359520309749,9100
721,./models\v1_20241122-173605_b85848d5_9200.pth,-745.8006483685831,9200
722,./models\v1_20241122-173605_b85848d5_9300.pth,-815.3746307667246,9300
723,./models\v1_20241122-173605_b85848d5_9400.pth,-756.7721876507628,9400
724,./models\v1_20241122-173605_b85848d5_9500.pth,-752.6664712253687,9500
725,./models\v1_20241122-173605_b85848d5_9600.pth,-770.0559547277495,9600
726,./models\v1_20241122-173605_b85848d5_9700.pth,-784.437445818891,9700
727,./models\v1_20241122-173605_b85848d5_9800.pth,-779.0784880670515,9800
728,./models\v1_20241122-173605_b85848d5_9900.pth,-773.1483152511624,9900
729,./models\v1_20241124-162643_0d373594_18600.pth,-778.8902658688594,18600
730,./models\v1_20241124-164748_0d373594_18600.pth,-755.4125837120461,18600
731,./models\v1_20241124-165507_0d373594_18600.pth,-777.3521426790983,18600
732,./models\v1_20241124-165647_0d373594_18600.pth,-776.2438856127285,18600
733,./models\v1_20241124-165647_0d373594_18700.pth,-789.6737889242701,18700
734,./models\v1_20241124-165647_0d373594_18800.pth,-791.4464314211452,18800
735,./models\v1_20241124-165647_0d373594_18900.pth,-793.1309890294019,18900
736,./models\v1_20241124-165647_0d373594_19000.pth,-775.9840768178755,19000
737,./models\v1_20241124-165647_0d373594_19100.pth,-819.7362039101307,19100
738,./models\v1_20241124-165647_0d373594_19200.pth,-773.9949055084325,19200
739,./models\v1_20241124-165647_0d373594_19300.pth,-745.4980337625337,19300
740,./models\v1_20241124-175547_0d373594_19300.pth,-754.4330803559872,19300
741,./models\v1_20241124-175547_0d373594_19400.pth,-840.8119474385879,19400
742,./models\v1_20241124-175547_0d373594_19500.pth,-732.5251886941957,19500
743,./models\v1_20241124-175547_0d373594_19600.pth,-760.7193234702828,19600
744,./models\v1_20241124-175547_0d373594_19700.pth,-776.1648267160443,19700
745,./models\v1_20241124-175547_0d373594_19800.pth,-733.5486152800122,19800
746,./models\v1_20241124-175547_0d373594_19900.pth,-755.706317693493,19900
747,./models\v1_20241124-175547_0d373594_20000.pth,-788.5620984218352,20000
748,./models\v1_20241124-175547_0d373594_20100.pth,-765.9745061250921,20100
749,./models\v1_20241124-175547_0d373594_20200.pth,-769.6798606969251,20200
750,./models\v1_20241124-175547_0d373594_20300.pth,-770.3285012976435,20300
751,./models\v1_20241124-175547_0d373594_20400.pth,-831.0845445589274,20400
752,./models\v1_20241124-175547_0d373594_20500.pth,-858.8310084946991,20500
753,./models\v1_20241124-175547_0d373594_20600.pth,-738.8502747219085,20600
754,./models\v1_20241124-175547_0d373594_20700.pth,-733.4723424821294,20700
755,./models\v1_20241124-175547_0d373594_20800.pth,-753.1154417564827,20800
756,./models\v1_20241124-175547_0d373594_20900.pth,-766.6869139415288,20900
757,./models\v1_20241124-175547_0d373594_21000.pth,-773.5848578090383,21000
758,./models\v1_20241124-175547_0d373594_21100.pth,-754.4034933674628,21100
759,./models\v1_20241124-175547_0d373594_21200.pth,-765.6015349260515,21200
760,./models\v1_20241124-175547_0d373594_21300.pth,-780.7390920567221,21300
761,./models\v1_20241124-175547_0d373594_21400.pth,-811.5700567577629,21400
762,./models\v1_20241124-175547_0d373594_21500.pth,-737.129147634593,21500
763,./models\v1_20241124-175547_0d373594_21600.pth,-776.3375743430454,21600
764,./models\v1_20241124-175547_0d373594_21700.pth,-801.9999796627577,21700
765,./models\v1_20241124-175547_0d373594_21800.pth,-744.3537286549134,21800
766,./models\v1_20241124-175547_0d373594_21900.pth,-786.5059862327945,21900
767,./models\v1_20241124-175547_0d373594_22000.pth,-766.8347529596608,22000
768,./models\v1_20241124-175547_0d373594_22100.pth,-781.0325459686422,22100
769,./models\v1_20241124-175547_0d373594_22200.pth,-771.126794691486,22200
770,./models\v1_20241124-175547_0d373594_22300.pth,-798.9470260946132,22300
771,./models\v1_20241124-175547_0d373594_22400.pth,-781.5454796012451,22400
772,./models\v1_20241124-175547_0d373594_22500.pth,-771.8315012448751,22500
773,./models\v1_20241124-175547_0d373594_22600.pth,-809.8716351131043,22600
774,./models\v1_20241124-175547_0d373594_22700.pth,-759.6583865888888,22700
775,./models\v1_20241124-175547_0d373594_22800.pth,-755.459950876523,22800
776,./models\v1_20241124-175547_0d373594_22900.pth,-752.2760215213598,22900
777,./models\v1_20241124-190918_0d373594_22900.pth,-736.5797544397988,22900
778,./models\v1_20241124-190918_0d373594_23000.pth,-796.3987757924536,23000
779,./models\v1_20241124-190918_0d373594_23100.pth,-756.4401048364665,23100
780,./models\v1_20241124-190918_0d373594_23200.pth,-801.0331819759492,23200
781,./models\v1_20241124-190918_0d373594_23300.pth,-794.1846728422621,23300
782,./models\v1_20241124-190918_0d373594_23400.pth,-799.6438043001897,23400
783,./models\v1_20241124-190918_0d373594_23500.pth,-776.369883567735,23500
784,./models\v1_20241124-190918_0d373594_23600.pth,-701.4697480576793,23600
785,./models\v1_20241124-190918_0d373594_23700.pth,-820.9136305853592,23700
786,./models\v1_20241124-190918_0d373594_23800.pth,-789.2437118204084,23800
787,./models\v1_20241124-190918_0d373594_23900.pth,-748.2156188680034,23900
788,./models\v1_20241124-190918_0d373594_24000.pth,-856.0797414283246,24000
789,./models\v1_20241124-190918_0d373594_24100.pth,-816.4837505061499,24100
790,./models\v1_20241124-190918_0d373594_24200.pth,-836.712875569703,24200
791,./models\v1_20241124-190918_0d373594_24300.pth,-849.8377090071666,24300
792,./models\v1_20241124-190918_0d373594_24400.pth,-778.3006426598746,24400
793,./models\v1_20241124-190918_0d373594_24500.pth,-798.8256710666546,24500
794,./models\v1_20241124-190918_0d373594_24600.pth,-745.5379794103437,24600
795,./models\v1_20241124-190918_0d373594_24700.pth,-885.2899705766484,24700
796,./models\v1_20241124-190918_0d373594_24800.pth,-888.8009510355114,24800
797,./models\v1_20241124-190918_0d373594_24900.pth,-777.8685494895632,24900
798,./models\v1_20241124-190918_0d373594_25000.pth,-702.9017717459515,25000
799,./models\v1_20241124-190918_0d373594_25100.pth,-569.2572979166413,25100
800,./models\v1_20241124-190918_0d373594_25200.pth,-636.9066261260267,25200
801,./models\v1_20241124-190918_0d373594_25300.pth,-637.3533797374234,25300
802,./models\v1_20241124-190918_0d373594_25400.pth,-779.2775091789772,25400
803,./models\v1_20241124-190918_0d373594_25500.pth,-813.5061854679527,25500
804,./models\v1_20241124-190918_0d373594_25600.pth,-841.9959716429526,25600
805,./models\v1_20241124-190918_0d373594_25700.pth,-805.0501167832095,25700
806,./models\v1_20241124-190918_0d373594_25800.pth,-713.2529459647106,25800
807,./models\v1_20241124-190918_0d373594_25900.pth,-746.3817837804609,25900
808,./models\v1_20241124-190918_0d373594_26000.pth,-783.8498577260134,26000
809,./models\v1_20241124-190918_0d373594_26100.pth,-752.8849369255732,26100
810,./models\v1_20241124-190918_0d373594_26200.pth,-783.2236415181603,26200
811,./models\v1_20241124-190918_0d373594_26300.pth,-739.4602859345574,26300
812,./models\v1_20241124-190918_0d373594_26400.pth,-757.2224874827485,26400
813,./models\v1_20241124-190918_0d373594_26500.pth,-833.2255721321715,26500
814,./models\v1_20241124-190918_0d373594_26600.pth,-766.2654603969775,26600
815,./models\v1_20241124-190918_0d373594_26700.pth,-741.4583982346848,26700
816,./models\v1_20241124-190918_0d373594_26800.pth,-743.8329722809503,26800
817,./models\v1_20241124-190918_0d373594_26900.pth,-768.5823151695351,26900
818,./models\v1_20241124-190918_0d373594_27000.pth,-806.4795269606676,27000
819,./models\v1_20241124-190918_0d373594_27100.pth,-765.7173373884559,27100
820,./models\v1_20241124-190918_0d373594_27200.pth,-757.6388771671694,27200
821,./models\v1_20241124-190918_0d373594_27300.pth,-776.130091001616,27300
822,./models\v1_20241124-190918_0d373594_27400.pth,-778.5479222370999,27400
823,./models\v1_20241124-190918_0d373594_27500.pth,-744.1496128037619,27500
824,./models\v1_20241124-190918_0d373594_27600.pth,-788.9479547999164,27600
825,./models\v1_20241124-190918_0d373594_27700.pth,-829.1348576961007,27700
826,./models\v1_20241124-190918_0d373594_27800.pth,-802.9081759757411,27800
827,./models\v1_20241124-190918_0d373594_27900.pth,-734.2092021271641,27900
828,./models\v1_20241124-190918_0d373594_28000.pth,-736.1318125072357,28000
829,./models\v1_20241124-190918_0d373594_28100.pth,-786.1818159097788,28100
830,./models\v1_20241124-190918_0d373594_28200.pth,-763.8086714514683,28200
831,./models\v1_20241124-190918_0d373594_28300.pth,-736.649574020321,28300
832,./models\v1_20241124-190918_0d373594_28400.pth,-722.043592588593,28400
833,./models\v1_20241124-190918_0d373594_28500.pth,-589.8139257329059,28500
834,./models\v1_20241124-190918_0d373594_28600.pth,-540.6642477204409,28600
835,./models\v1_20241124-190918_0d373594_28700.pth,-639.1394475421695,28700
836,./models\v1_20241124-190918_0d373594_28800.pth,-663.051339236387,28800
837,./models\v1_20241124-190918_0d373594_28900.pth,-748.6782369108105,28900
838,./models\v1_20241124-190918_0d373594_29000.pth,-732.4860931391307,29000
839,./models\v1_20241124-190918_0d373594_29100.pth,-733.9341556780809,29100
840,./models\v1_20241124-190918_0d373594_29200.pth,-687.7281804795773,29200
841,./models\v1_20241124-221913_0d373594_28600.pth,-518.551271070301,28600
842,./models\v1_20241124-221913_0d373594_28700.pth,-343.651573531364,28700
843,./models\v1_20241124-221913_0d373594_28800.pth,-259.4524225036584,28800
844,./models\v1_20241124-221913_0d373594_28900.pth,-197.632996531667,28900
845,./models\v1_20241124-221913_0d373594_29000.pth,-129.6435544215557,29000
846,./models\v1_20241124-221913_0d373594_29100.pth,-137.8800930474538,29100
847,./models\v1_20241124-221913_0d373594_29200.pth,-132.65325139222617,29200
848,./models\v1_20241124-221913_0d373594_29300.pth,-128.85333154977855,29300
849,./models\v1_20241124-221913_0d373594_29400.pth,-134.36235075224474,29400
850,./models\v1_20241124-234943_0d373594_29400.pth,-132.29014820226558,29400
851,./models\v1_20241124-234943_0d373594_29500.pth,-132.7290114944347,29500
852,./models\v1_20241124-234943_0d373594_29600.pth,-134.76116615122544,29600
853,./models\v1_20241124-234943_0d373594_29700.pth,-132.99157166547607,29700
854,./models\v1_20241124-234943_0d373594_29800.pth,-134.70213581210487,29800
855,./models\v1_20241124-234943_0d373594_29900.pth,-132.18219666085832,29900
856,./models\v1_20241124-234943_0d373594_30000.pth,-133.30677079380482,30000
857,./models\v1_20241124-234943_0d373594_30100.pth,-132.42544558909097,30100
858,./models\v1_20241124-234943_0d373594_30200.pth,-129.59760204090378,30200
859,./models\v1_20241124-234943_0d373594_30300.pth,-129.89407050653423,30300
860,./models\v1_20241124-234943_0d373594_30400.pth,-129.84951389098256,30400
861,./models\v1_20241124-234943_0d373594_30500.pth,-132.39862937204833,30500
862,./models\v1_20241124-234943_0d373594_30600.pth,-131.33446598728983,30600
863,./models\v1_20241124-234943_0d373594_30700.pth,-138.43279737140844,30700
864,./models\v1_20241124-234943_0d373594_30800.pth,-129.3283453648702,30800
865,./models\v1_20241124-234943_0d373594_30900.pth,-132.32982381082988,30900
866,./models\v1_20241124-234943_0d373594_31000.pth,-131.66499365159257,31000
867,./models\v1_20241124-234943_0d373594_31100.pth,-131.9904706106209,31100
868,./models\v1_20241124-234943_0d373594_31200.pth,-132.90654306795898,31200
869,./models\v1_20241124-234943_0d373594_31300.pth,-131.03279106474366,31300
870,./models\v1_20241124-234943_0d373594_31400.pth,-128.08756722340718,31400
871,./models\v1_20241124-234943_0d373594_31500.pth,-133.15719534223703,31500
872,./models\v1_20241124-234943_0d373594_31600.pth,-131.0586866500575,31600
873,./models\v1_20241124-234943_0d373594_31700.pth,-136.71390220767017,31700
874,./models\v1_20241124-234943_0d373594_31800.pth,-132.33922313515762,31800
875,./models\v1_20241124-234943_0d373594_31900.pth,-132.18972076999265,31900
876,./models\v1_20241124-234943_0d373594_32000.pth,-129.80878234138044,32000
877,./models\v1_20241124-234943_0d373594_32100.pth,-132.35514403214205,32100
878,./models\v1_20241124-234943_0d373594_32200.pth,-132.93640369863212,32200
879,./models\v1_20241124-234943_0d373594_32300.pth,-131.72146768533477,32300
880,./models\v1_20241124-234943_0d373594_32400.pth,-125.30332191603216,32400
881,./models\v1_20241124-234943_0d373594_32500.pth,-142.09822260270792,32500
882,./models\v1_20241124-234943_0d373594_32600.pth,-133.65590161615012,32600
883,./models\v1_20241124-234943_0d373594_32700.pth,-128.68436858116937,32700
884,./models\v1_20241124-234943_0d373594_32800.pth,-131.17955590208967,32800
885,./models\v1_20241124-234943_0d373594_32900.pth,-134.39562982701406,32900
886,./models\v1_20241124-234943_0d373594_33000.pth,-130.010803284275,33000
887,./models\v1_20241124-234943_0d373594_33100.pth,-132.00017165921224,33100
888,./models\v1_20241124-234943_0d373594_33200.pth,-131.28783579732158,33200
889,./models\v1_20241124-234943_0d373594_33300.pth,-133.6413391825308,33300
890,./models\v1_20241124-234943_0d373594_33400.pth,-130.33228053569758,33400
891,./models\v1_20241124-234943_0d373594_33500.pth,-138.672913482504,33500
892,./models\v1_20241124-234943_0d373594_33600.pth,-133.99179161641194,33600
893,./models\v1_20241124-234943_0d373594_33700.pth,-126.06098503412693,33700
894,./models\v1_20241124-234943_0d373594_33800.pth,-133.4408961833293,33800
895,./models\v1_20241124-234943_0d373594_33900.pth,-129.9050730003126,33900
896,./models\v1_20241124-234943_0d373594_34000.pth,-130.48402760764262,34000
897,./models\v1_20241124-234943_0d373594_34100.pth,-130.9832482856953,34100
898,./models\v1_20241124-234943_0d373594_34200.pth,-132.18792232098698,34200
899,./models\v1_20241124-234943_0d373594_34300.pth,-128.4789842728713,34300
900,./models\v1_20241124-234943_0d373594_34400.pth,-124.70605765385694,34400
901,./models\v1_20241124-234943_0d373594_34500.pth,-128.66891082441254,34500
902,./models\v1_20241124-234943_0d373594_34600.pth,-129.19758985893742,34600
903,./models\v1_20241124-234943_0d373594_34700.pth,-133.28162214577827,34700
904,./models\v1_20241124-234943_0d373594_34800.pth,-132.55074285412454,34800
905,./models\v1_20241124-234943_0d373594_34900.pth,-130.40385675177222,34900
906,./models\v1_20241124-234943_0d373594_35000.pth,-133.6588434114142,35000
907,./models\v1_20241124-234943_0d373594_35100.pth,-129.94251176583998,35100
908,./models\v1_20241124-234943_0d373594_35200.pth,-124.68771685935508,35200
909,./models\v1_20241124-234943_0d373594_35300.pth,-127.20219579973593,35300
910,./models\v1_20241124-234943_0d373594_35400.pth,-137.99698302028472,35400
911,./models\v1_20241125-114045_0d373594_35400.pth,-129.6493310494621,35400
912,./models\v1_20241125-114045_0d373594_35500.pth,-135.0453487604347,35500
913,./models\v1_20241125-114641_0d373594_35400.pth,-132.18082487867846,35400
914,./models\v1_20241125-115119_0d373594_35400.pth,-132.1718194014049,35400
915,./models\v1_20241125-115119_0d373594_35500.pth,-132.5285042954811,35500
916,./models\v1_20241125-120425_0d373594_18500.pth,-783.5722593788873,18500
917,./models\v1_20241125-120808_0d373594_0.pth,-495.2818813784438,0
918,./models\v1_20241125-121028_0d373594_0.pth,-725.3135555230012,0
919,./models\v1_20241125-121028_0d373594_100.pth,-737.3170368125545,100
920,./models\v1_20241125-121028_0d373594_1000.pth,-128.69541765722417,1000
921,./models\v1_20241125-121028_0d373594_1100.pth,-116.04508423021383,1100
922,./models\v1_20241125-121028_0d373594_1200.pth,-120.87743947685136,1200
923,./models\v1_20241125-121028_0d373594_1300.pth,-115.78551825023082,1300
924,./models\v1_20241125-121028_0d373594_1400.pth,-112.69537142643817,1400
925,./models\v1_20241125-121028_0d373594_1500.pth,-106.46704231998793,1500
926,./models\v1_20241125-121028_0d373594_1600.pth,-106.2580578991337,1600
927,./models\v1_20241125-121028_0d373594_1700.pth,-129.39659137070583,1700
928,./models\v1_20241125-121028_0d373594_1800.pth,-131.96520693214953,1800
929,./models\v1_20241125-121028_0d373594_200.pth,-922.7141904110656,200
930,./models\v1_20241125-121028_0d373594_300.pth,-352.0854282639311,300
931,./models\v1_20241125-121028_0d373594_400.pth,-228.4738331406697,400
932,./models\v1_20241125-121028_0d373594_500.pth,-243.51215574959343,500
933,./models\v1_20241125-121028_0d373594_600.pth,-111.6517138234436,600
934,./models\v1_20241125-121028_0d373594_700.pth,-106.67869684044763,700
935,./models\v1_20241125-121028_0d373594_800.pth,-123.73860398262995,800
936,./models\v1_20241125-121028_0d373594_900.pth,-95.65680035347822,900
937,./models\v1_20241125-132340_0d373594_1800.pth,-130.51501959319512,1800
938,./models\v1_20241125-132625_0d373594_1800.pth,-129.0678715622932,1800
939,./models\v1_20241125-132625_0d373594_1900.pth,-127.93723669716098,1900
940,./models\v1_20241125-132625_0d373594_2000.pth,-119.36908535430828,2000
941,./models\v1_20241125-132625_0d373594_2100.pth,-169.25811791713062,2100
942,./models\v1_20241125-132625_0d373594_2200.pth,-151.73739247709972,2200
943,./models\v1_20241125-132625_0d373594_2300.pth,-179.54607324422744,2300
944,./models\v1_20241125-132625_0d373594_2400.pth,-124.32423090053634,2400
945,./models\v1_20241125-135429_0d373594_2100.pth,-156.34995188942037,2100
946,./models\v1_20241125-135429_0d373594_2200.pth,-111.11021608225742,2200
947,./models\v1_20241125-135429_0d373594_2300.pth,-121.3116968138154,2300
948,./models\v1_20241125-135429_0d373594_2400.pth,-143.74722949614022,2400
949,./models\v1_20241125-135429_0d373594_2500.pth,-147.63582046326835,2500
950,./models\v1_20241125-135429_0d373594_2600.pth,-132.6788696310937,2600
951,./models\v1_20241125-135429_0d373594_2700.pth,-167.2692602357443,2700
952,./models\v1_20241125-135429_0d373594_2800.pth,-136.13097289684356,2800
953,./models\v1_20241125-135429_0d373594_2900.pth,-137.02951851813347,2900
954,./models\v1_20241125-145801_0d373594_2900.pth,-146.8027682472582,2900
955,./models\v1_20241125-145801_0d373594_3000.pth,-126.54371576520184,3000
956,./models\v1_20241125-145801_0d373594_3100.pth,-125.04335226250747,3100
957,./models\v1_20241125-145801_0d373594_3200.pth,-120.62564463168401,3200
958,./models\v1_20241125-145801_0d373594_3300.pth,-123.86346240626881,3300
959,./models\v1_20241125-145801_0d373594_3400.pth,-124.44998749289334,3400
960,./models\v1_20241125-145801_0d373594_3500.pth,-125.03295115375994,3500
961,./models\v1_20241125-145801_0d373594_3600.pth,-123.71123895335911,3600
962,./models\v1_20241125-145801_0d373594_3700.pth,-119.89182582763524,3700
963,./models\v1_20241125-160355_cf23c8f0_3700.pth,-119.63295115416163,3700
964,./models\v1_20241125-160355_cf23c8f0_3800.pth,-126.23379579213073,3800
965,./models\v1_20241125-160355_cf23c8f0_3900.pth,-129.79475895571704,3900
966,./models\v1_20241125-160355_cf23c8f0_4000.pth,-132.73030986260102,4000
967,./models\v1_20241125-160355_cf23c8f0_4100.pth,-127.94313759080894,4100
968,./models\v1_20241125-160355_cf23c8f0_4200.pth,-126.15490978655994,4200
969,./models\v1_20241125-160355_cf23c8f0_4300.pth,-130.74728518287176,4300
970,./models\v1_20241125-160355_cf23c8f0_4400.pth,-136.8931968379702,4400
971,./models\v1_20241125-160355_cf23c8f0_4500.pth,-137.09455034078456,4500
972,./models\v1_20241125-160355_cf23c8f0_4600.pth,-142.4597409373599,4600
973,./models\v1_20241125-160355_cf23c8f0_4700.pth,-134.99178862050027,4700
974,./models\v1_20241125-160355_cf23c8f0_4800.pth,-126.38510057290537,4800
975,./models\v1_20241125-160355_cf23c8f0_4900.pth,-119.72240250777328,4900
976,./models\v1_20241125-160355_cf23c8f0_5000.pth,-136.58676000630453,5000
