,model,fitness,episode
85,./models\3cabc502v1_20241121-172904_7300.pth,-488.5336898501523,7300
86,./models\3cabc502v1_20241121-172904_7400.pth,-461.3658215922401,7400
87,./models\3cabc502v1_20241121-172904_7500.pth,-468.2275385850862,7500
88,./models\3cabc502v1_20241121-172904_7600.pth,-503.5543031973112,7600
89,./models\3cabc502v1_20241121-172904_7700.pth,-501.46295721821514,7700
90,./models\3cabc502v1_20241121-172904_7800.pth,-525.5498517297123,7800
91,./models\3cabc502v1_20241121-172904_7900.pth,-529.8937597797789,7900
92,./models\3cabc502v1_20241121-172904_800.pth,-159.91697601175287,800
93,./models\3cabc502v1_20241121-172904_8000.pth,-568.8097784202204,8000
94,./models\3cabc502v1_20241121-172904_8100.pth,-331.183796978544,8100
95,./models\3cabc502v1_20241121-172904_8200.pth,-178.91222357449783,8200
96,./models\3cabc502v1_20241121-172904_900.pth,-135.16124911379129,900
97,./models\775fd3a3v1_20241121-143217_0.pth,-355.4372113245364,0
98,./models\775fd3a3v1_20241121-143305_0.pth,-333.4522207658322,0
99,./models\775fd3a3v1_20241121-143421_0.pth,-353.4032085560261,0
100,./models\775fd3a3v1_20241121-143421_100.pth,-336.34868621220585,100
101,./models\775fd3a3v1_20241121-143421_200.pth,-383.63425845691364,200
102,./models\775fd3a3v1_20241121-143421_300.pth,-356.03697300269266,300
103,./models\775fd3a3v1_20241121-143421_400.pth,-352.06927966246144,400
104,./models\775fd3a3v1_20241121-143421_500.pth,-312.21082643406453,500
105,./models\775fd3a3v1_20241121-143421_600.pth,-336.09008984380284,600
106,./models\775fd3a3v1_20241121-143421_700.pth,-340.66854225996167,700
107,./models\775fd3a3v1_20241121-143421_800.pth,-335.97138798434725,800
108,./models\775fd3a3v1_20241121-151525_0.pth,-360.7434854726296,0
109,./models\775fd3a3v1_20241121-151525_100.pth,-327.6350662656659,100
110,./models\775fd3a3v1_20241121-151525_200.pth,-403.8898174488869,200
111,./models\775fd3a3v1_20241121-151525_300.pth,-301.2737916876615,300
112,./models\775fd3a3v1_20241121-151525_400.pth,-221.48291263380088,400
113,./models\775fd3a3v1_20241121-151525_500.pth,-300.2922582661818,500
114,./models\775fd3a3v1_20241121-151525_600.pth,-307.27520466481036,600
115,./models\775fd3a3v1_20241121-151525_700.pth,-698.019562944116,700
116,./models\775fd3a3v1_20241121-151525_800.pth,-648.1253539779868,800
117,./models\775fd3a3v1_20241121-155415_0.pth,-694.025237261752,0
118,./models\775fd3a3v1_20241121-155415_100.pth,-427.6125705304122,100
119,./models\775fd3a3v1_20241121-155415_1000.pth,-130.66973009969644,1000
120,./models\775fd3a3v1_20241121-155415_1100.pth,-144.33141921088998,1100
121,./models\775fd3a3v1_20241121-155415_1200.pth,-229.7411961885207,1200
122,./models\775fd3a3v1_20241121-155415_1300.pth,-147.12067584643003,1300
123,./models\775fd3a3v1_20241121-155415_1400.pth,-125.36889482821651,1400
124,./models\775fd3a3v1_20241121-155415_200.pth,-151.63920696877523,200
125,./models\775fd3a3v1_20241121-155415_300.pth,-174.0701450406879,300
126,./models\775fd3a3v1_20241121-155415_400.pth,-132.26455050479814,400
127,./models\775fd3a3v1_20241121-155415_500.pth,-134.81507438442978,500
128,./models\775fd3a3v1_20241121-155415_600.pth,-132.6983592516518,600
129,./models\775fd3a3v1_20241121-155415_700.pth,-132.96535754085485,700
130,./models\775fd3a3v1_20241121-155415_800.pth,-134.59416412268584,800
131,./models\775fd3a3v1_20241121-155415_900.pth,-129.11325699211287,900
132,./models\775fd3a3v1_20241121-162436_0.pth,-798.3755128722325,0
133,./models\775fd3a3v1_20241121-162436_100.pth,-530.6902204164048,100
134,./models\775fd3a3v1_20241121-162436_1000.pth,-461.4546449860092,1000
135,./models\775fd3a3v1_20241121-162436_1100.pth,-483.1151565972741,1100
136,./models\775fd3a3v1_20241121-162436_1200.pth,-296.99689177236803,1200
137,./models\775fd3a3v1_20241121-162436_1300.pth,-504.56299316677496,1300
138,./models\775fd3a3v1_20241121-162436_1400.pth,-127.55196132653984,1400
139,./models\775fd3a3v1_20241121-162436_1500.pth,-132.04796939805414,1500
140,./models\775fd3a3v1_20241121-162436_1600.pth,-131.3030610420126,1600
141,./models\775fd3a3v1_20241121-162436_1700.pth,-131.13405269236563,1700
142,./models\775fd3a3v1_20241121-162436_1800.pth,-131.78923211827674,1800
143,./models\775fd3a3v1_20241121-162436_1900.pth,-178.10088950730832,1900
144,./models\775fd3a3v1_20241121-162436_200.pth,-658.7270449692785,200
145,./models\775fd3a3v1_20241121-162436_2000.pth,-283.97219721548174,2000
146,./models\775fd3a3v1_20241121-162436_300.pth,-727.7528622977354,300
147,./models\775fd3a3v1_20241121-162436_400.pth,-329.0633019555597,400
148,./models\775fd3a3v1_20241121-162436_500.pth,-364.311023474938,500
149,./models\775fd3a3v1_20241121-162436_600.pth,-582.2000712677423,600
150,./models\775fd3a3v1_20241121-162436_700.pth,-577.0484956321084,700
151,./models\775fd3a3v1_20241121-162436_800.pth,-139.32327558160327,800
152,./models\775fd3a3v1_20241121-162436_900.pth,-496.72711066587914,900
153,./models\94f62293v1_20241120-220235_0.pth,-129.08772206429694,0
154,./models\94f62293v1_20241120-220554_0.pth,-456.80121141694656,0
155,./models\94f62293v1_20241120-220607_0.pth,-157.04527157051743,0
156,./models\94f62293v1_20241120-220607_100.pth,-565.2202731214579,100
157,./models\94f62293v1_20241120-220607_200.pth,-412.7203344946655,200
158,./models\94f62293v1_20241120-220607_300.pth,-570.8475565826046,300
159,./models\94f62293v1_20241120-220607_400.pth,-425.6759505420596,400
160,./models\94f62293v1_20241120-222547_0.pth,-199.41178268418872,0
161,./models\94f62293v1_20241120-222547_100.pth,-131.54579632458118,100
162,./models\94f62293v1_20241120-222547_1000.pth,-221.9440667618301,1000
163,./models\94f62293v1_20241120-222547_1100.pth,-347.7611621744171,1100
164,./models\94f62293v1_20241120-222547_1200.pth,-579.1387418995859,1200
165,./models\94f62293v1_20241120-222547_1300.pth,-471.7951445608349,1300
166,./models\94f62293v1_20241120-222547_1400.pth,-390.674044344304,1400
167,./models\94f62293v1_20241120-222547_1500.pth,-761.542819901117,1500
168,./models\94f62293v1_20241120-222547_1600.pth,-663.5660836814018,1600
169,./models\94f62293v1_20241120-222547_1700.pth,-784.384018535653,1700
170,./models\94f62293v1_20241120-222547_1800.pth,-701.8254858588556,1800
171,./models\94f62293v1_20241120-222547_200.pth,-239.8713757604407,200
172,./models\94f62293v1_20241120-222547_300.pth,-152.06760907964227,300
173,./models\94f62293v1_20241120-222547_400.pth,-175.73827130480203,400
174,./models\94f62293v1_20241120-222547_500.pth,-285.4805581345916,500
175,./models\94f62293v1_20241120-222547_600.pth,-259.15956061512304,600
176,./models\94f62293v1_20241120-222547_700.pth,-208.98939649106833,700
